0,1,2,3,4,5,6,7,8
300930,屹通新材,1,-2,0.35,-0.72,0.35,-3.28,+展开明细
603135,中重科技,1,0,0.13,0.07,0.64,0.32,+展开明细
301141,中科磁业,1,-1,0.12,-0.10,0.49,-0.42,+展开明细
002230,科大讯飞,1,1,0.86,0.86,0.87,0.87,+展开明细
000498,山东路桥,1,0,1.10,-0.31,1.18,-0.33,+展开明细
002515,金字火腿,1,1,1.46,1.46,1.50,1.50,+展开明细
300743,天地数码,1,0,1.31,-0.29,1.31,-0.30,+展开明细
603172,万丰股份,1,0,0.16,-0.21,0.63,-0.84,+展开明细
300075,数字政通,1,-1,0.35,-0.71,0.35,-0.71,+展开明细
300164,通源石油,1,1,0.69,0.69,0.69,0.69,+展开明细
003023,彩虹集团,1,0,0.70,0.35,1.41,0.71,+展开明细
600312,平高电气,1,-1,0.82,-1.42,0.82,-1.42,+展开明细
002204,大连重工,1,0,0.17,-0.01,0.17,-0.01,+展开明细
603558,健盛集团,1,-1,2.61,-1.85,2.61,-1.85,+展开明细
603679,华体科技,1,0,1.17,-0.21,1.17,-0.21,+展开明细
301141,中科磁业,1,-1,0.12,-0.10,0.49,-0.42,+展开明细
002859,洁美科技,1,0,0.62,0.05,0.66,0.05,+展开明细
688252,天德钰,1,0,0.69,-0.08,1.55,-0.18,+展开明细
002912,中新赛克,1,0,1.12,-0.32,1.12,-0.32,+展开明细
300458,全志科技,1,-1,0.96,-1.03,0.96,-1.04,+展开明细
301058,中粮科工,1,-3,0.22,-2.34,0.57,-5.89,+展开明细
603077,和邦生物,1,0,0.79,0.42,0.79,0.42,+展开明细
300353,东土科技,1,1,0.53,0.53,0.54,0.54,+展开明细
603186,华正新材,1,-5,0.63,-7.40,0.63,-7.41,+展开明细
603093,南华期货,1,0,0.60,0.37,0.60,0.37,+展开明细
688266,泽璟制药,1,-1,3.06,0.78,3.06,-0.54,+展开明细
002519,银河电子,1,0,0.63,0.03,0.63,0.03,+展开明细
600169,太原重工,1,0,0.22,0.01,0.22,-0.06,+展开明细
688489,三未信安,1,-2,0.16,-1.42,0.36,-3.23,+展开明细
301378,通达海,1,-4,0.41,-0.95,0.78,-4.68,+展开明细
301071,力量钻石,1,1,1.04,1.04,2.07,2.07,+展开明细
300558,贝达药业,1,-1,1.25,-1.07,1.25,-1.07,+展开明细
002848,高斯贝尔,1,-1,0.54,-0.84,0.54,-0.84,+展开明细
301149,隆华新材,1,-1,0.90,-0.60,2.09,-1.36,+展开明细
600717,天津港,1,0,0.35,-0.02,0.35,-0.02,+展开明细
300813,泰林生物,1,0,0.40,-0.25,0.40,-0.25,+展开明细
600866,星湖科技,1,1,0.66,0.66,1.10,1.10,+展开明细
300689,澄天伟业,1,-2,0.46,-1.52,0.46,-1.52,+展开明细
300272,开能健康,1,0,0.77,-0.19,0.77,-0.19,+展开明细
001216,华瓷股份,1,-1,0.11,-0.49,0.42,-1.97,+展开明细
001270,铖昌科技,1,1,0.40,0.40,0.81,0.81,+展开明细
301263,泰恩康,1,0,1.16,0.30,1.84,0.47,+展开明细
688799,华纳药厂,1,-1,0.77,-0.76,1.27,-1.26,+展开明细
